date,demand
2022/8/22,1308.959
2022/8/23,1772.046
2022/8/24,4922.708
2022/8/25,2590.57
2022/8/26,1263.542
2022/8/27,39.25
2022/8/28,0
2022/8/29,69.927
2022/8/30,0
2022/8/31,0
2022/9/1,0
2022/9/2,88.739
2022/9/3,940.052
2022/9/4,988.131
2022/9/5,549.393
2022/9/6,1007.708
2022/9/7,527.371
2022/9/8,509.656
2022/9/9,125.964
2022/9/10,103.008
2022/9/11,0
2022/9/12,209.849
2022/9/13,531.631
2022/9/14,1052.382
2022/9/15,912.162
2022/9/16,341.35
2022/9/17,152.417
2022/9/18,108.117
2022/9/19,1070.086
2022/9/20,1024.633
2022/9/21,4374.418
2022/9/22,1827.112
2022/9/23,1874.529
2022/9/24,2603.905
2022/9/25,630.677
2022/9/26,6478.981
2022/9/27,12724.982
2022/9/28,996.296
2022/9/29,26
2022/9/30,0
2022/10/1,0
2022/10/2,74.857
2022/10/3,224.568
2022/10/4,173.675
2022/10/5,0
2022/10/6,50.961
2022/10/7,2
2022/10/8,9.33
2022/10/9,540.404
2022/10/10,113.002
2022/10/11,14.991
2022/10/12,184.352
2022/10/13,2493.595
2022/10/14,2572.591
2022/10/15,576.653
2022/10/16,84.621
2022/10/17,328.812
2022/10/18,620.791
2022/10/19,1952.345
2022/10/20,655.97
2022/10/21,467.771
2022/10/22,795.894
2022/10/23,227.183
2022/10/24,8924.299
2022/10/25,2220.448
2022/10/26,4393.622
2022/10/27,242.407
2022/10/28,0
2022/10/29,0
2022/10/30,0
2022/10/31,0
2022/11/1,0
2022/11/2,0
2022/11/3,75.26
2022/11/4,89.938
2022/11/5,0
2022/11/6,88.837
2022/11/7,633.394
2022/11/8,1559.945
2022/11/9,1.085
2022/11/10,461.759
2022/11/11,671.388
2022/11/12,0
2022/11/13,0.801
2022/11/14,4.862
2022/11/15,189.692
2022/11/16,302.003
2022/11/17,212.457
2022/11/18,753.95
2022/11/19,209.265
2022/11/20,194.436
2022/11/21,316.425
2022/11/22,720.837
2022/11/23,1260.616
2022/11/24,4613.432
2022/11/25,5131.601
2022/11/26,346.901
2022/11/27,2989.083
2022/11/28,85.993
2022/11/29,68.996
2022/11/30,8.5
2022/12/1,1271.909
2022/12/2,3302.393
2022/12/3,1851.11
2022/12/4,380.816
2022/12/5,1317.81
2022/12/6,1655.563
2022/12/7,1034.977
2022/12/8,1105.458
2022/12/9,792.242
2022/12/10,2548.813
2022/12/11,509.085
2022/12/12,569.01
2022/12/13,1266.872
2022/12/14,1730.377
2022/12/15,2536.793
2022/12/16,1564.502
2022/12/17,786.794
2022/12/18,268.679
2022/12/19,452.975
2022/12/20,1995.914
2022/12/21,1743.803
2022/12/22,2348.816
2022/12/23,2366.416
2022/12/24,932.822
2022/12/25,2644.275
2022/12/26,1422.731
2022/12/27,1544.808
2022/12/28,8168.326
2022/12/29,2921.217
2022/12/30,695.707
2022/12/31,612.452
