date,demand,cap
2022/8/18,32.66,0
2022/8/19,105.18,0
2022/8/20,1454.75,0
2022/8/21,456.62,0
2022/8/22,1214.99,0
2022/8/23,1261.5,0
2022/8/24,855.02,0
2022/8/25,464.09,0
2022/8/26,14.92,0
2022/8/27,0,0
2022/8/28,0,0
2022/8/29,8.5,0
2022/8/30,0,0
2022/8/31,0,0
2022/9/1,0,0
2022/9/2,88.74,0
2022/9/3,939.61,0
2022/9/4,988.14,0
2022/9/5,549.34,0
2022/9/6,1007.74,0
2022/9/7,527.38,0
2022/9/8,354.12,0
2022/9/9,45.23,0
2022/9/10,84,0
2022/9/11,0,0
2022/9/12,209.85,0
2022/9/13,298.47,0
2022/9/14,624.56,0
2022/9/15,87.55,0
2022/9/16,210.11,0
2022/9/17,0,0
2022/9/18,108.11,0
2022/9/19,345.85,0
2022/9/20,1024.65,0
2022/9/21,3087.5,0
2022/9/22,1637.29,0
2022/9/23,730.84,0
2022/9/24,1019.69,0
2022/9/25,323.32,0
2022/9/26,576.66,0
2022/9/27,0,0
2022/9/28,0,0
2022/9/29,0,0
2022/9/30,0,0
2022/10/1,0,0
2022/10/2,74.87,0
2022/10/3,224.57,0
2022/10/4,173.68,0
2022/10/5,0,0
2022/10/6,50.96,0
2022/10/7,2,0
2022/10/8,9.33,0
2022/10/9,15.75,0
2022/10/10,28.49,0
2022/10/11,2.99,0
2022/10/12,155.77,0
2022/10/13,1879.32,0
2022/10/14,1929.25,0
2022/10/15,576.66,0
2022/10/16,84.62,0
2022/10/17,119.24,0
2022/10/18,147.79,0
2022/10/19,216.1,0
2022/10/20,603.06,0
2022/10/21,322.4,0
2022/10/22,795.89,0
2022/10/23,199.99,0
2022/10/24,515.8,0
2022/10/25,15.41,0
2022/10/26,238.29,0
2022/10/27,0,0
2022/10/28,0,0
2022/10/29,0,0
2022/10/30,0,0
2022/10/31,0,0
2022/11/1,0,0
2022/11/2,0,0
2022/11/3,0,0
2022/11/4,0,0
2022/11/5,0,0
2022/11/6,0,0
2022/11/7,586.57,0
2022/11/8,1450.04,0
2022/11/9,0,0
2022/11/10,421.35,0
2022/11/11,596.54,0
2022/11/12,0,0
2022/11/13,0.8,0
2022/11/14,4.86,0
2022/11/15,30.87,0
2022/11/16,218.47,0
2022/11/17,27.4,0
2022/11/18,60.73,0
2022/11/19,121.73,0
2022/11/20,30.68,0
2022/11/21,171.32,0
2022/11/22,80.92,0
2022/11/23,568.7,0
2022/11/24,585.16,0
2022/11/25,1062.24,0
2022/11/26,150.22,0
2022/11/27,1013.75,0
2022/11/28,18.5,0
2022/11/29,9.93,0
2022/11/30,8.5,0
2022/12/1,1271.88,0
2022/12/2,3272.42,0
2022/12/3,1851.14,0
2022/12/4,380.81,0
2022/12/5,1317.56,0
2022/12/6,1655.33,0
2022/12/7,1033.97,0
2022/12/8,505.75,0
2022/12/9,483.36,0
2022/12/10,2122.62,0
2022/12/11,434.1,0
2022/12/12,328.42,0
2022/12/13,418.95,0
2022/12/14,125.2,0
2022/12/15,1022.69,0
2022/12/16,1297.1,0
2022/12/17,42.07,0
2022/12/18,175.5,0
2022/12/19,341.79,0
2022/12/20,1980.95,0
2022/12/21,581.87,0
2022/12/22,111.15,0
2022/12/23,58.57,0
2022/12/24,0,0
2022/12/25,0,0
2022/12/26,47.7,0
2022/12/27,75.73,0
2022/12/28,0,0
2022/12/29,0.17,0
2022/12/30,0,0
2022/12/31,0,0
